X	Y	Result
1	1	0
1	2	2
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	1
1	14	0
1	15	0
1	16	0
2	1	0
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	0
2	8	0
2	9	1
2	10	1
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
3	1	0
3	2	0
3	3	2
3	4	1
3	5	1
3	6	1
3	7	0
3	8	0
3	9	1
3	10	1
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
4	1	0
4	2	1
4	3	1
4	4	0
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	1
4	11	1
4	12	0
4	13	0
4	14	1
4	15	0
4	16	0
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	1
5	11	2
5	12	2
5	13	1
5	14	1
5	15	0
5	16	0
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	2
6	12	2
6	13	1
6	14	1
6	15	1
6	16	1
7	1	2
7	2	1
7	3	0
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	0
7	13	0
7	14	0
7	15	0
7	16	1
8	1	1
8	2	1
8	3	2
8	4	2
8	5	1
8	6	1
8	7	0
8	8	2
8	9	1
8	10	1
8	11	1
8	12	1
8	13	2
8	14	2
8	15	0
8	16	0
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	2
9	8	2
9	9	1
9	10	2
9	11	1
9	12	1
9	13	0
9	14	2
9	15	2
9	16	1
10	1	1
10	2	2
10	3	1
10	4	1
10	5	1
10	6	0
10	7	1
10	8	1
10	9	1
10	10	0
10	11	1
10	12	0
10	13	1
10	14	1
10	15	1
10	16	0
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	0
11	7	0
11	8	1
11	9	1
11	10	1
11	11	1
11	12	1
11	13	1
11	14	1
11	15	1
11	16	1
12	1	1
12	2	0
12	3	1
12	4	1
12	5	1
12	6	0
12	7	0
12	8	1
12	9	1
12	10	1
12	11	0
12	12	0
12	13	1
12	14	1
12	15	1
12	16	1
13	1	1
13	2	1
13	3	1
13	4	1
13	5	2
13	6	1
13	7	1
13	8	1
13	9	1
13	10	1
13	11	1
13	12	1
13	13	0
13	14	1
13	15	1
13	16	2
14	1	1
14	2	1
14	3	1
14	4	1
14	5	0
14	6	2
14	7	2
14	8	2
14	9	1
14	10	1
14	11	1
14	12	1
14	13	2
14	14	1
14	15	1
14	16	1
15	1	1
15	2	2
15	3	1
15	4	2
15	5	2
15	6	0
15	7	2
15	8	1
15	9	1
15	10	2
15	11	1
15	12	1
15	13	1
15	14	1
15	15	1
15	16	1
16	1	2
16	2	1
16	3	2
16	4	0
16	5	2
16	6	1
16	7	0
16	8	2
16	9	2
16	10	1
16	11	1
16	12	1
16	13	1
16	14	1
16	15	1
16	16	1
