X	Y	Result
1	1	2
1	2	1
1	3	2
1	4	2
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	1
1	12	1
1	13	0
1	14	0
1	15	0
1	16	0
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	0
2	7	1
2	8	1
2	9	2
2	10	1
2	11	1
2	12	0
2	13	0
2	14	0
2	15	1
2	16	1
3	1	2
3	2	1
3	3	2
3	4	1
3	5	1
3	6	1
3	7	1
3	8	2
3	9	1
3	10	1
3	11	1
3	12	1
3	13	0
3	14	0
3	15	2
3	16	0
4	1	2
4	2	2
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	2
4	11	1
4	12	0
4	13	1
4	14	0
4	15	1
4	16	1
5	1	1
5	2	0
5	3	0
5	4	1
5	5	2
5	6	1
5	7	1
5	8	1
5	9	2
5	10	1
5	11	1
5	12	1
5	13	0
5	14	1
5	15	1
5	16	0
6	1	2
6	2	2
6	3	1
6	4	1
6	5	2
6	6	2
6	7	0
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
6	13	0
6	14	0
6	15	1
6	16	0
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	0
7	7	2
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
7	13	0
7	14	1
7	15	0
7	16	0
8	1	1
8	2	1
8	3	1
8	4	0
8	5	1
8	6	0
8	7	2
8	8	2
8	9	0
8	10	2
8	11	1
8	12	1
8	13	1
8	14	0
8	15	1
8	16	1
9	1	1
9	2	1
9	3	0
9	4	1
9	5	1
9	6	2
9	7	1
9	8	1
9	9	0
9	10	1
9	11	2
9	12	1
9	13	0
9	14	0
9	15	1
9	16	0
10	1	0
10	2	1
10	3	2
10	4	1
10	5	2
10	6	2
10	7	2
10	8	1
10	9	1
10	10	1
10	11	0
10	12	1
10	13	1
10	14	0
10	15	1
10	16	0
11	1	2
11	2	1
11	3	1
11	4	1
11	5	1
11	6	2
11	7	1
11	8	2
11	9	1
11	10	1
11	11	0
11	12	0
11	13	0
11	14	0
11	15	1
11	16	0
12	1	1
12	2	1
12	3	1
12	4	1
12	5	2
12	6	1
12	7	2
12	8	1
12	9	1
12	10	1
12	11	1
12	12	1
12	13	0
12	14	1
12	15	1
12	16	0
13	1	2
13	2	0
13	3	1
13	4	0
13	5	1
13	6	0
13	7	1
13	8	2
13	9	0
13	10	0
13	11	0
13	12	1
13	13	1
13	14	1
13	15	1
13	16	0
14	1	0
14	2	1
14	3	2
14	4	1
14	5	1
14	6	1
14	7	0
14	8	2
14	9	0
14	10	1
14	11	0
14	12	0
14	13	2
14	14	1
14	15	2
14	16	0
15	1	0
15	2	2
15	3	1
15	4	1
15	5	2
15	6	2
15	7	2
15	8	1
15	9	1
15	10	1
15	11	1
15	12	1
15	13	0
15	14	0
15	15	2
15	16	0
16	1	0
16	2	1
16	3	1
16	4	1
16	5	2
16	6	1
16	7	1
16	8	1
16	9	1
16	10	1
16	11	1
16	12	1
16	13	1
16	14	0
16	15	0
16	16	0
