X	Y	Result
1	1	1
1	2	1
1	3	1
1	4	1
1	5	2
1	6	1
1	7	1
1	8	1
1	9	1
1	10	2
1	11	0
1	12	0
1	13	0
1	14	0
1	15	1
1	16	1
2	1	2
2	2	1
2	3	1
2	4	1
2	5	1
2	6	0
2	7	0
2	8	1
2	9	2
2	10	2
2	11	2
2	12	0
2	13	2
2	14	1
2	15	1
2	16	1
3	1	2
3	2	1
3	3	1
3	4	0
3	5	2
3	6	1
3	7	1
3	8	0
3	9	0
3	10	1
3	11	0
3	12	1
3	13	1
3	14	0
3	15	0
3	16	1
4	1	1
4	2	2
4	3	1
4	4	0
4	5	0
4	6	1
4	7	0
4	8	1
4	9	2
4	10	0
4	11	1
4	12	0
4	13	1
4	14	1
4	15	0
4	16	1
5	1	0
5	2	0
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	2
5	9	1
5	10	0
5	11	1
5	12	1
5	13	1
5	14	1
5	15	0
5	16	1
6	1	1
6	2	1
6	3	1
6	4	0
6	5	1
6	6	1
6	7	1
6	8	1
6	9	0
6	10	2
6	11	1
6	12	2
6	13	1
6	14	1
6	15	0
6	16	1
7	1	0
7	2	0
7	3	1
7	4	1
7	5	2
7	6	0
7	7	2
7	8	1
7	9	2
7	10	1
7	11	2
7	12	2
7	13	0
7	14	1
7	15	0
7	16	1
8	1	1
8	2	1
8	3	0
8	4	0
8	5	1
8	6	1
8	7	0
8	8	2
8	9	2
8	10	1
8	11	0
8	12	2
8	13	1
8	14	1
8	15	1
8	16	0
9	1	1
9	2	2
9	3	1
9	4	1
9	5	0
9	6	0
9	7	2
9	8	0
9	9	2
9	10	2
9	11	2
9	12	1
9	13	1
9	14	1
9	15	0
9	16	1
10	1	2
10	2	2
10	3	2
10	4	2
10	5	0
10	6	0
10	7	2
10	8	2
10	9	0
10	10	1
10	11	0
10	12	0
10	13	1
10	14	0
10	15	0
10	16	1
11	1	2
11	2	1
11	3	2
11	4	1
11	5	0
11	6	2
11	7	0
11	8	2
11	9	2
11	10	0
11	11	0
11	12	0
11	13	0
11	14	0
11	15	1
11	16	0
12	1	1
12	2	1
12	3	0
12	4	2
12	5	0
12	6	0
12	7	0
12	8	0
12	9	2
12	10	2
12	11	0
12	12	0
12	13	0
12	14	0
12	15	0
12	16	1
13	1	2
13	2	1
13	3	0
13	4	0
13	5	0
13	6	2
13	7	2
13	8	0
13	9	1
13	10	1
13	11	0
13	12	1
13	13	0
13	14	0
13	15	0
13	16	1
14	1	0
14	2	1
14	3	2
14	4	1
14	5	2
14	6	1
14	7	1
14	8	0
14	9	0
14	10	0
14	11	1
14	12	1
14	13	0
14	14	1
14	15	1
14	16	1
15	1	1
15	2	0
15	3	1
15	4	1
15	5	0
15	6	1
15	7	0
15	8	0
15	9	1
15	10	1
15	11	1
15	12	1
15	13	1
15	14	1
15	15	0
15	16	1
16	1	0
16	2	1
16	3	2
16	4	1
16	5	0
16	6	1
16	7	1
16	8	2
16	9	0
16	10	2
16	11	1
16	12	1
16	13	1
16	14	1
16	15	0
16	16	1
