X	Y	Result
1	1	0
1	2	1
1	3	0
1	4	0
1	5	2
1	6	2
1	7	2
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
2	1	0
2	2	0
2	3	1
2	4	0
2	5	1
2	6	0
2	7	2
2	8	2
2	9	1
2	10	2
2	11	0
2	12	2
2	13	0
2	14	0
2	15	0
2	16	0
3	1	1
3	2	2
3	3	2
3	4	2
3	5	2
3	6	2
3	7	1
3	8	1
3	9	0
3	10	0
3	11	1
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
4	1	1
4	2	0
4	3	0
4	4	2
4	5	2
4	6	1
4	7	1
4	8	2
4	9	0
4	10	0
4	11	0
4	12	1
4	13	0
4	14	0
4	15	0
4	16	0
5	1	0
5	2	0
5	3	2
5	4	1
5	5	2
5	6	1
5	7	2
5	8	2
5	9	2
5	10	2
5	11	1
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
6	1	0
6	2	1
6	3	2
6	4	0
6	5	0
6	6	0
6	7	2
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	1
6	14	0
6	15	0
6	16	0
7	1	1
7	2	1
7	3	2
7	4	2
7	5	2
7	6	0
7	7	0
7	8	2
7	9	1
7	10	0
7	11	0
7	12	0
7	13	2
7	14	1
7	15	2
7	16	0
8	1	2
8	2	0
8	3	2
8	4	0
8	5	2
8	6	2
8	7	0
8	8	1
8	9	1
8	10	2
8	11	2
8	12	0
8	13	1
8	14	1
8	15	0
8	16	2
9	1	1
9	2	1
9	3	1
9	4	1
9	5	2
9	6	1
9	7	1
9	8	2
9	9	2
9	10	0
9	11	1
9	12	2
9	13	1
9	14	2
9	15	0
9	16	0
10	1	2
10	2	2
10	3	1
10	4	1
10	5	2
10	6	0
10	7	0
10	8	2
10	9	0
10	10	0
10	11	2
10	12	1
10	13	2
10	14	1
10	15	1
10	16	0
11	1	2
11	2	2
11	3	1
11	4	2
11	5	2
11	6	2
11	7	0
11	8	2
11	9	0
11	10	1
11	11	1
11	12	2
11	13	0
11	14	1
11	15	0
11	16	1
12	1	2
12	2	2
12	3	1
12	4	2
12	5	2
12	6	1
12	7	1
12	8	2
12	9	1
12	10	0
12	11	1
12	12	2
12	13	2
12	14	0
12	15	0
12	16	0
13	1	1
13	2	1
13	3	1
13	4	2
13	5	2
13	6	2
13	7	0
13	8	0
13	9	0
13	10	0
13	11	1
13	12	2
13	13	0
13	14	0
13	15	0
13	16	0
14	1	2
14	2	2
14	3	2
14	4	2
14	5	2
14	6	2
14	7	1
14	8	0
14	9	1
14	10	2
14	11	0
14	12	2
14	13	2
14	14	1
14	15	1
14	16	0
15	1	2
15	2	2
15	3	0
15	4	0
15	5	1
15	6	2
15	7	2
15	8	2
15	9	2
15	10	0
15	11	2
15	12	1
15	13	1
15	14	1
15	15	1
15	16	0
16	1	1
16	2	1
16	3	2
16	4	2
16	5	2
16	6	1
16	7	1
16	8	2
16	9	2
16	10	0
16	11	2
16	12	2
16	13	1
16	14	1
16	15	0
16	16	0
