X	Y	Result
1	1	2
1	2	2
1	3	1
1	4	0
1	5	0
1	6	2
1	7	2
1	8	1
1	9	1
1	10	2
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
2	1	2
2	2	0
2	3	0
2	4	0
2	5	2
2	6	2
2	7	2
2	8	2
2	9	2
2	10	1
2	11	1
2	12	2
2	13	2
2	14	1
2	15	1
2	16	1
3	1	0
3	2	1
3	3	2
3	4	0
3	5	2
3	6	2
3	7	2
3	8	1
3	9	1
3	10	2
3	11	1
3	12	0
3	13	0
3	14	0
3	15	0
3	16	1
4	1	0
4	2	1
4	3	2
4	4	2
4	5	0
4	6	2
4	7	0
4	8	2
4	9	2
4	10	2
4	11	1
4	12	0
4	13	1
4	14	0
4	15	1
4	16	1
5	1	2
5	2	1
5	3	2
5	4	0
5	5	0
5	6	1
5	7	1
5	8	0
5	9	1
5	10	1
5	11	1
5	12	1
5	13	0
5	14	0
5	15	0
5	16	1
6	1	0
6	2	2
6	3	2
6	4	2
6	5	0
6	6	2
6	7	2
6	8	2
6	9	2
6	10	0
6	11	1
6	12	1
6	13	1
6	14	1
6	15	0
6	16	1
7	1	1
7	2	1
7	3	1
7	4	1
7	5	0
7	6	0
7	7	2
7	8	2
7	9	2
7	10	1
7	11	1
7	12	0
7	13	0
7	14	0
7	15	0
7	16	1
8	1	0
8	2	2
8	3	2
8	4	2
8	5	2
8	6	2
8	7	2
8	8	2
8	9	2
8	10	0
8	11	2
8	12	2
8	13	1
8	14	1
8	15	0
8	16	1
9	1	2
9	2	2
9	3	0
9	4	1
9	5	1
9	6	2
9	7	2
9	8	2
9	9	2
9	10	2
9	11	2
9	12	1
9	13	0
9	14	1
9	15	0
9	16	1
10	1	1
10	2	0
10	3	0
10	4	1
10	5	2
10	6	1
10	7	0
10	8	2
10	9	1
10	10	2
10	11	2
10	12	2
10	13	2
10	14	1
10	15	0
10	16	0
11	1	1
11	2	2
11	3	1
11	4	1
11	5	2
11	6	1
11	7	1
11	8	2
11	9	2
11	10	2
11	11	1
11	12	2
11	13	2
11	14	0
11	15	0
11	16	0
12	1	0
12	2	1
12	3	1
12	4	0
12	5	1
12	6	1
12	7	2
12	8	0
12	9	1
12	10	2
12	11	1
12	12	1
12	13	0
12	14	0
12	15	1
12	16	0
13	1	0
13	2	1
13	3	0
13	4	1
13	5	1
13	6	0
13	7	0
13	8	2
13	9	2
13	10	2
13	11	1
13	12	1
13	13	0
13	14	1
13	15	0
13	16	0
14	1	1
14	2	1
14	3	2
14	4	0
14	5	2
14	6	1
14	7	0
14	8	0
14	9	1
14	10	1
14	11	2
14	12	2
14	13	1
14	14	0
14	15	0
14	16	0
15	1	1
15	2	1
15	3	1
15	4	0
15	5	2
15	6	0
15	7	0
15	8	2
15	9	0
15	10	2
15	11	2
15	12	2
15	13	1
15	14	1
15	15	1
15	16	0
16	1	0
16	2	2
16	3	2
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	1
16	10	2
16	11	2
16	12	1
16	13	0
16	14	0
16	15	0
16	16	0
