X	Y	Result
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	0
1	11	0
1	12	0
1	13	1
1	14	0
1	15	0
1	16	0
2	1	0
2	2	1
2	3	0
2	4	1
2	5	0
2	6	1
2	7	1
2	8	0
2	9	1
2	10	0
2	11	1
2	12	2
2	13	1
2	14	1
2	15	0
2	16	1
3	1	0
3	2	1
3	3	2
3	4	1
3	5	0
3	6	0
3	7	1
3	8	1
3	9	1
3	10	0
3	11	2
3	12	2
3	13	2
3	14	1
3	15	0
3	16	0
4	1	1
4	2	0
4	3	2
4	4	0
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	2
4	11	2
4	12	1
4	13	2
4	14	1
4	15	1
4	16	0
5	1	1
5	2	0
5	3	2
5	4	1
5	5	2
5	6	0
5	7	1
5	8	2
5	9	0
5	10	2
5	11	2
5	12	1
5	13	2
5	14	2
5	15	0
5	16	0
6	1	1
6	2	2
6	3	2
6	4	2
6	5	1
6	6	2
6	7	1
6	8	1
6	9	0
6	10	2
6	11	0
6	12	1
6	13	1
6	14	1
6	15	0
6	16	0
7	1	1
7	2	1
7	3	1
7	4	2
7	5	1
7	6	2
7	7	1
7	8	1
7	9	0
7	10	1
7	11	2
7	12	1
7	13	1
7	14	1
7	15	0
7	16	0
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	2
8	7	2
8	8	1
8	9	0
8	10	1
8	11	1
8	12	2
8	13	1
8	14	2
8	15	0
8	16	0
9	1	1
9	2	1
9	3	1
9	4	1
9	5	2
9	6	1
9	7	0
9	8	2
9	9	2
9	10	1
9	11	2
9	12	2
9	13	1
9	14	0
9	15	1
9	16	0
10	1	2
10	2	1
10	3	2
10	4	1
10	5	1
10	6	1
10	7	0
10	8	0
10	9	1
10	10	0
10	11	1
10	12	0
10	13	1
10	14	2
10	15	1
10	16	0
11	1	1
11	2	0
11	3	0
11	4	0
11	5	2
11	6	0
11	7	2
11	8	0
11	9	1
11	10	0
11	11	2
11	12	0
11	13	2
11	14	1
11	15	0
11	16	0
12	1	1
12	2	2
12	3	0
12	4	2
12	5	0
12	6	0
12	7	1
12	8	0
12	9	0
12	10	0
12	11	1
12	12	2
12	13	1
12	14	0
12	15	0
12	16	0
13	1	2
13	2	1
13	3	0
13	4	1
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	1
13	12	0
13	13	1
13	14	1
13	15	0
13	16	0
14	1	1
14	2	1
14	3	2
14	4	2
14	5	0
14	6	0
14	7	0
14	8	1
14	9	0
14	10	0
14	11	1
14	12	1
14	13	0
14	14	0
14	15	0
14	16	1
15	1	0
15	2	1
15	3	1
15	4	0
15	5	0
15	6	0
15	7	2
15	8	1
15	9	2
15	10	0
15	11	1
15	12	2
15	13	0
15	14	1
15	15	1
15	16	1
16	1	0
16	2	1
16	3	1
16	4	0
16	5	1
16	6	1
16	7	1
16	8	0
16	9	0
16	10	2
16	11	2
16	12	0
16	13	0
16	14	0
16	15	0
16	16	1
